Division;Player;Position;Age;Height;Left Foot;Right Foot;Rating;PoM;Minutes;Goals;Mins/Gl;xG;NP-xG;xG-OP;xG/90;Conv %;xG/shot;Shot/90;ShT/90;Shots From Outside The Box Per 90 minutes;Shot %;Goals From Outside The Box;Pens;Pen/R;Team Goals;Assists;xA;xA/90;Pas %;Ps A/90;Ch C/90;OP-KP/90;Pr passes/90;Crs A/90;Cr C/90;OP-Crs A/90;OP-Crs C/90;Drb/90;Off;Poss Lost/90;Poss Won/90;Tck/90;Int/90;Pres A/90;Tck R;Tck A;K Tck;Blk/90;Clr/90;Shts Blckd/90;Fouls Made;Yel;Red cards;Dist/90;Sprints/90;Recurring Injury;Injury Susceptibility;Aer A/90;Hdr %;K Hdrs/90;Clean Sheets;xGP;MLG;Sv %;Svh;Svp;Svt;Goals Conceded;Pens Faced;Pens Saved Ratio
Sky Bet Championship;Luca Kjerrumgaard;ST (C);23;"6'3""";Very Strong;Strong;6.70;1;3148;8;393.5;15.73;15.73;-7.73;0.4;7%;0.135603448275862;3.3;1.8;0.8;53%;0;0;0;22;1;4.13;0.1;89%;26.0;0.1;1.1;0.8;0.3;0.1;0.3;0.1;0.5;18;24.5;1.1;0.3;1.0;2.0;92;12;0;0.1;0.2;0.0;20;0;0;10.2;5.5;No recurring injuries;Average;8.1;38;0.0;0;0;0;0;0;0;0;0;0;0
Ligue 2 BKT;Joseph Kalulu;D/WB (L);21;"5'11""";Very Strong;Weak;6.87;0;2586;0;0;0.27;0.27;-0.27;0.0;0%;0.09;0.1;0.0;0.0;0%;0;0;0;28;2;2.47;0.1;89%;57.2;0.1;1.1;7.7;2.9;0.8;2.9;0.8;1.0;4;16.0;12.7;1.9;3.6;6.8;84;64;1;0.6;1.5;0.3;46;13;2;11.6;15.5;No recurring injuries;Above Average;3.0;59;0.3;0;0;0;0;0;0;0;0;0;0
Eredivisie;Bernt Klaverboer;GK;20;"6'3""";Very Weak;Very Strong;6.56;1;2430;0;0;0;0;0;0.0;0%;0;0.0;0.0;0.0;0%;0;0;0;28;0;0;0.0;80%;24.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;8.0;2.4;0.0;0.0;0.0;20;5;0;0.0;3.4;0.0;0;0;0;5.3;0.0;No recurring injuries;Below Average;0.0;0;0.0;3;-5.09;0;68;17;50;14;39;5;20
Ligue 2 BKT;Travis Patterson;D/WB/M/AM (L);20;"5'10""";Very Strong;Reasonable;6.70;1;2628;0;0;0.08;0.08;-0.08;0.0;0%;0.04;0.1;0.0;0.0;50%;0;0;0;21;2;1.35;0.0;89%;54.9;0.1;1.2;5.6;4.2;0.7;4.2;0.7;1.9;3;18.1;9.3;1.5;3.4;8.6;78;55;4;0.7;1.4;0.2;28;4;1;12.4;18.7;No recurring injuries;Average;3.4;47;0.1;0;0;1;0;0;0;0;0;0;0
Sky Bet Championship;Callum Elder;D/WB (L);31;"5'11""";Very Strong;Reasonable;6.65;0;1424;0;0;0.39;0.39;-0.39;0.0;0%;0.078;0.3;0.1;0.1;20%;0;0;0;7;0;3.71;0.2;86%;46.3;0.2;1.5;5.5;7.6;1.5;5.8;1.2;2.3;2;16.4;10.7;2.0;3.9;8.6;82;39;1;1.1;1.3;0.2;36;3;0;12.7;25.2;No recurring injuries;High;3.5;49;0.2;0;0;0;0;0;0;0;0;0;0
Sky Bet Championship;Miles Leaburn;ST (C);22;"6'7""";Fairly Strong;Very Strong;6.75;1;2607;10;260.7;8.97;8.97;1.03;0.3;13%;0.113544303797468;2.7;1.3;1.0;49%;0;4;100;29;0;0.73;0.0;89%;26.4;0.1;0.8;0.6;0.2;0.1;0.2;0.1;0.7;15;20.7;1.3;0.1;1.1;1.3;36;11;0;0.2;0.3;0.0;16;1;0;10.3;7.8;No recurring injuries;High;8.7;42;0.1;0;0;0;0;0;0;0;0;0;0
Ligue 2 BKT;Axel Drouhin;D (RC);26;"6'2""";Weak;Very Strong;6.82;1;2174;0;0;2.4;2.4;-2.4;0.1;0%;0.15;0.7;0.0;0.2;6%;0;0;0;20;0;1;0.0;90%;42.0;0.1;0.1;1.9;0.1;0.0;0.1;0.0;0.0;0;3.3;15.7;0.6;3.4;2.8;78;18;4;1.0;1.5;0.7;5;2;0;10.0;4.1;No recurring injuries;Below Average;5.7;64;0.5;0;0;0;0;0;0;0;0;0;0
Ligue 2 BKT;Ibrahima Baldé;AM (R), ST (C);23;"6'1""";Weak;Very Strong;6.81;3;2422;9;269.111111111111;8.97;7.35;0.03;0.3;11%;0.110740740740741;3.0;1.4;0.9;48%;2;3;33;24;0;1.59;0.1;91%;26.1;0.2;1.2;0.9;0.3;0.1;0.3;0.1;0.7;18;20.7;1.6;0.3;0.7;1.6;80;10;0;0.2;0.1;0.0;18;1;0;10.1;5.4;No recurring injuries;Above Average;8.7;27;0.1;0;0;0;0;0;0;0;0;0;0
Ligue 2 BKT;Joseph Nduquidi;D (C), DM, M (C);21;"6'2""";Weak;Very Strong;6.63;0;1327;0;0;0.44;0.44;-0.44;0.0;0%;0.11;0.3;0.1;0.0;25%;0;0;0;11;0;2.5;0.2;89%;50.3;0.3;1.0;4.8;0.4;0.1;0.4;0.1;0.0;0;6.5;13.6;1.2;2.0;6.3;63;27;0;0.3;1.1;0.1;10;3;1;12.1;10.9;No recurring injuries;Average;2.8;45;0.2;0;0;0;0;0;0;0;0;0;0
Ligue 2 BKT;Owen Kouassi;D (RC), WB/M (R);23;"6'0""";Weak;Very Strong;6.77;0;2573;0;0;0.87;0.87;-0.87;0.0;0%;0.0790909090909091;0.4;0.0;0.1;9%;1;0;0;27;2;3.81;0.1;86%;42.7;0.2;1.2;4.5;3.6;0.9;3.6;0.9;2.0;1;13.1;13.9;1.9;3.4;9.2;83;65;2;0.7;1.2;0.5;56;12;1;12.3;22.9;No recurring injuries;Average;4.1;57;0.5;0;0;1;0;0;0;0;0;0;0
Jupiler Pro League;Kobe Cools;D (C);28;"6'4""";Weak;Very Strong;6.72;1;2340;1;2340;0.69;0.69;0.31;0.0;17%;0.115;0.2;0.1;0.1;33%;0;0;0;34;0;1.07;0.0;92%;42.6;0.0;0.1;1.5;0.0;0.0;0.0;0.0;0.0;0;3.3;19.1;0.5;2.9;2.4;86;14;2;0.6;1.1;0.8;11;3;0;9.3;2.9;No recurring injuries;Very High;5.5;71;1.2;0;0;0;0;0;0;0;0;0;0
Eredivisie;Nick Fichtinger;DM, M (C);22;"5'10""";Weak;Very Strong;6.78;2;2595;0;0;1.22;1.22;-1.22;0.0;0%;0.135555555555556;0.3;0.0;0.1;11%;0;0;0;21;6;5.99;0.2;93%;52.9;0.4;1.2;6.1;0.1;0.0;0.1;0.0;0.1;0;8.4;10.3;0.8;2.8;5.3;68;34;5;0.7;1.0;0.1;16;2;1;11.8;11.4;No recurring injuries;High;2.0;43;0.1;0;0;0;0;0;0;0;0;0;0
Ligue 2 BKT;Ryad Hachem;D/WB (L), DM, M (C);27;"5'8""";Very Strong;Weak;6.68;1;3052;1;3052;1.71;1.71;-0.71;0.1;6%;0.106875;0.5;0.1;0.1;25%;0;0;0;32;5;5.84;0.2;88%;28.1;0.3;0.8;3.3;2.9;0.3;2.9;0.3;1.4;2;18.5;8.9;1.1;1.8;5.4;69;52;0;0.4;0.6;0.2;28;2;0;7.3;15.7;No recurring injuries;Below Average;2.3;29;0.2;0;0;1;0;0;0;0;0;0;0
Ligue 2 BKT;Dylan Durivaux;D (RC), WB (R);24;"5'10""";Weak;Very Strong;6.85;2;2540;1;2540;3.04;3.04;-2.04;0.1;6%;0.19;0.6;0.1;0.1;25%;0;0;0;32;2;1.53;0.1;89%;44.8;0.1;0.7;3.2;2.1;0.1;2.1;0.1;0.7;0;7.1;9.8;1.3;2.9;5.4;84;43;6;0.6;1.1;0.7;22;4;0;10.5;10.0;No recurring injuries;Below Average;4.0;69;0.5;0;0;0;0;0;0;0;0;0;0
Ligue 2 BKT;Noah Raveyre;GK;20;"6'4""";Weak;Very Strong;6.78;5;3330;0;0;0;0;0;0.0;0%;0;0.0;0.0;0.0;0%;0;0;0;33;0;0;0.0;77%;24.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;8.4;3.6;0.1;0.0;0.0;50;4;0;0.0;3.7;0.0;0;0;0;6.0;0.0;No recurring injuries;Below Average;0.0;0;0.0;13;10.93;1;79;27;68;22;33;4;50
Eredivisie;Irakli Yegoian;M/AM (C);22;"5'6""";Weak;Very Strong;6.79;1;2429;5;485.8;5.44;5.44;-0.44;0.2;11%;0.115744680851064;1.7;0.7;0.7;40%;3;0;0;24;3;4.59;0.2;88%;41.9;0.2;1.8;2.9;0.7;0.1;0.7;0.1;1.3;5;19.3;11.4;0.6;1.5;5.4;81;21;1;0.2;0.6;0.0;19;4;0;11.3;9.5;No recurring injuries;Below Average;2.7;10;0.0;0;0;0;0;0;0;0;0;0;0
Ligue 2 BKT;Clément Billemaz;WB/M/AM (L);27;"5'9""";Very Strong;Weak;6.85;1;2596;6;432.666666666667;5.18;5.18;0.82;0.2;14%;0.117727272727273;1.5;0.5;0.3;32%;0;0;0;24;1;3.52;0.1;90%;44.7;0.0;1.7;3.5;3.6;0.9;3.6;0.9;2.6;17;21.5;4.7;2.2;1.8;8.7;88;73;1;0.3;0.4;0.0;37;0;0;11.3;15.5;No recurring injuries;Average;4.5;29;0.1;0;0;0;0;0;0;0;0;0;0
Second Division;Tomy Carbonell;DM, M (C);21;"6'0""";Reasonable;Very Strong;6.76;1;3103;0;0;1.41;1.41;-1.41;0.0;0%;0.141;0.3;0.0;0.1;10%;0;0;0;28;4;6.2;0.2;91%;51.4;0.3;1.0;5.6;0.1;0.0;0.1;0.0;0.2;0;6.9;12.0;1.1;2.5;5.8;69;55;3;0.5;0.8;0.1;15;2;0;11.8;10.7;No recurring injuries;High;1.7;45;0.1;0;0;0;0;0;0;0;0;0;0
Eredivisie;Casper Widell;D (C);23;"6'3""";Weak;Very Strong;6.73;1;2730;1;2730;1.29;1.29;-0.29;0.0;9%;0.117272727272727;0.4;0.1;0.1;18%;0;0;0;25;1;0.73;0.0;90%;40.5;0.2;0.2;1.9;0.1;0.0;0.1;0.0;0.0;0;3.0;17.3;0.5;2.7;2.1;71;21;4;0.8;1.2;1.2;13;4;0;9.9;4.0;No recurring injuries;High;5.4;80;1.2;0;0;0;0;0;0;0;0;0;0
Second Division;Jakes Gorosabel;ST (C);21;"6'2""";Reasonable;Very Strong;6.94;4;2975;18;165.277777777778;13.01;12.2;4.99;0.4;17%;0.122735849056604;3.2;1.5;1.0;47%;0;7;86;33;2;3.57;0.1;88%;24.2;0.2;0.9;0.6;0.6;0.2;0.6;0.2;0.8;19;19.7;1.6;0.3;0.4;1.7;79;14;0;0.0;0.2;0.0;24;0;0;10.3;5.6;No recurring injuries;Below Average;8.3;28;0.2;0;0;0;0;0;0;0;0;0;0
Jupiler Pro League;Roggerio Nyakossi;D (C);22;"6'4""";Very Weak;Very Strong;6.79;1;1306;0;0;0.39;0.39;-0.39;0.0;0%;0.078;0.3;0.1;0.0;20%;0;0;0;18;1;0.3;0.0;84%;40.8;0.0;0.3;2.4;0.0;0.0;0.0;0.0;0.0;0;4.6;10.0;0.3;2.4;3.0;63;8;4;0.4;0.8;0.6;4;1;0;9.9;2.3;No recurring injuries;Average;5.4;70;1.2;0;0;0;0;0;0;0;0;0;0
First Division;Ángel Pérez;D/WB/M/AM (R);23;"6'0""";Weak;Very Strong;6.45;0;1118;1;1118;1.35;1.35;-0.35;0.1;8%;0.1125;1.0;0.1;0.3;8%;0;0;0;8;1;1.96;0.2;88%;44.2;0.3;1.5;5.0;5.2;0.4;5.2;0.4;2.3;2;30.8;4.0;2.2;2.3;8.8;93;29;0;0.6;0.9;0.1;15;1;1;12.4;18.8;No recurring injuries;Below Average;3.5;23;0.0;0;0;0;0;0;0;0;0;0;0
Ligue 2 BKT;Moïse Sahi Dion;ST (C);24;"5'9""";Very Strong;Fairly Strong;6.61;0;1320;3;440;2.85;2.85;0.15;0.2;9%;0.0814285714285714;2.4;0.9;0.5;37%;0;1;100;7;1;0.75;0.1;90%;26.8;0.1;0.6;0.5;0.4;0.0;0.4;0.0;0.8;8;20.5;1.4;0.1;0.9;1.0;50;2;0;0.1;0.1;0.0;11;0;0;9.7;4.9;No recurring injuries;Above Average;8.2;15;0.1;0;0;0;0;0;0;0;0;0;0
Sky Bet Championship;Jaden Heskey;M/AM (C);20;"5'11""";Reasonable;Very Strong;6.50;0;2891;4;722.75;6.27;6.27;-2.27;0.2;8%;0.118301886792453;1.6;0.6;0.6;34%;0;0;0;28;1;3.55;0.1;86%;8.4;0.2;0.3;0.5;0.2;0.0;0.2;0.0;0.5;2;18.7;8.1;0.1;0.4;1.1;100;3;0;0.1;0.1;0.0;5;2;0;2.5;3.1;No recurring injuries;Above Average;0.8;50;0.0;0;0;0;0;0;0;0;0;0;0
Ligue 2 BKT;Victor Orakpo;AM (L), ST (C);20;"6'4""";Weak;Very Strong;6.78;0;1730;9;192.222222222222;5.29;5.29;3.71;0.3;15%;0.0896610169491525;3.1;1.4;1.1;44%;1;1;100;19;2;0.76;0.0;86%;24.8;0.1;0.7;0.7;0.3;0.1;0.3;0.1;0.7;10;20.2;1.4;0.3;0.8;1.7;63;8;0;0.0;0.3;0.0;15;1;0;10.3;5.6;No recurring injuries;Average;7.6;41;0.1;0;0;0;0;0;0;0;0;0;0
Ligue 2 BKT;Jordan Mendes;DM, M (C);22;"5'11""";Weak;Very Strong;6.67;1;1763;3;587.666666666667;0.99;0.99;2.01;0.1;21%;0.0707142857142857;0.7;0.3;0.3;36%;1;0;0;23;3;1.59;0.1;91%;28.3;0.1;0.4;2.6;0.0;0.0;0.0;0.0;0.3;0;12.4;9.4;0.9;1.5;2.7;86;21;2;0.3;0.3;0.1;5;0;0;6.5;6.4;No recurring injuries;Below Average;1.1;36;0.1;0;0;0;0;0;0;0;0;0;0
Sky Bet Championship;Macaulay Gillesphey;D (LC);30;"6'2""";Very Strong;Weak;6.90;1;1238;0;0;1.1;1.1;-1.1;0.1;0%;0.122222222222222;0.7;0.1;0.1;22%;0;0;0;11;3;2.11;0.2;93%;43.3;0.1;0.4;2.0;2.3;0.4;0.1;0.1;0.1;0;4.6;10.4;0.7;3.0;3.1;75;12;2;0.6;1.1;0.7;6;0;0;10.2;4.1;No recurring injuries;Low;4.9;59;0.9;0;0;0;0;0;0;0;0;0;0
Premier League;Mateus Pivô;D/WB (R);28;"6'1""";Very Weak;Very Weak;6.89;1;2165;1;2165;1.89;1.89;-0.89;0.1;5%;0.0994736842105263;0.8;0.2;0.2;26%;1;0;0;23;1;1.38;0.1;85%;55.0;0.1;1.0;7.3;2.0;0.3;2.0;0.3;1.1;1;16.6;12.3;1.2;3.2;7.9;75;40;3;0.6;1.0;0.3;35;9;1;11.4;13.9;No recurring injuries;Above Average;4.1;67;0.4;0;0;0;0;0;0;0;0;0;0
Jupiler Pro League;Djibril Lamego;D (C);23;"6'0""";Very Strong;Weak;6.72;1;3183;1;3183;1.2;1.2;-0.2;0.0;8%;0.1;0.3;0.1;0.0;17%;0;0;0;33;0;2.6;0.1;92%;42.1;0.1;0.1;1.7;0.0;0.0;0.0;0.0;0.1;0;3.9;15.7;0.3;3.1;2.7;60;15;1;0.8;0.8;0.6;10;1;1;10.0;3.2;No recurring injuries;Below Average;3.7;72;0.3;0;0;0;0;0;0;0;0;0;0
Ligue 2 BKT;Lucas Mincarelli;D/WB (L);22;"5'10""";Very Strong;Weak;6.69;0;1828;0;0;0.7;0.7;-0.7;0.0;0%;0.14;0.2;0.0;0.0;20%;0;0;0;17;0;2.5;0.1;84%;47.7;0.2;1.7;4.6;5.6;1.4;5.6;1.4;2.2;4;18.1;10.5;2.2;3.2;8.7;80;56;2;0.5;1.3;0.1;44;5;0;12.2;22.9;No recurring injuries;Above Average;3.5;28;0.1;0;0;1;0;0;0;0;0;0;0
Ligue 2 BKT;Wilitty Younoussa;DM, M (C);24;"5'9""";Weak;Very Strong;6.46;0;1964;0;0;1.32;1.32;-1.32;0.1;0%;0.0942857142857143;0.6;0.2;0.2;29%;0;0;0;22;3;3.2;0.1;0%;0.0;0.5;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0;19.9;11.3;0.0;0.0;0.0;0;0;0;0.0;0.0;0.0;1;1;0;0.0;0.0;No recurring injuries;Below Average;0.0;0;0.0;0;0;0;0;0;0;0;0;0;0
Jupiler Pro League;Tobias Hedl;AM (RL), ST (C);23;"6'1""";Reasonable;Very Strong;6.67;1;1471;4;367.75;4.39;4.39;-0.39;0.3;9%;0.0954347826086956;2.8;1.2;0.9;43%;1;1;100;15;0;1.02;0.1;89%;25.3;0.3;0.3;0.2;0.2;0.1;0.2;0.1;0.5;11;23.3;0.9;0.0;0.9;1.3;0;1;0;0.2;0.4;0.0;17;2;0;10.0;5.6;No recurring injuries;Above Average;8.0;31;0.0;0;0;0;0;0;0;0;0;0;0
Ligue 2 BKT;Zakaria Ariss;D/WB (L);21;"5'10""";Very Strong;Weak;6.95;2;3032;1;3032;0.99;0.99;0.01;0.0;8%;0.0825;0.4;0.1;0.1;33%;0;0;0;30;2;2.75;0.1;90%;55.1;0.1;0.7;6.6;2.3;0.4;2.3;0.4;1.5;0;14.5;12.6;1.8;3.1;7.1;84;74;3;0.6;0.8;0.5;27;2;0;11.8;17.4;No recurring injuries;Average;2.8;58;0.1;0;0;0;0;0;0;0;0;0;0
Sky Bet Championship;Souza;D/WB (L);19;"5'11""";Very Strong;Weak;7.02;2;1080;0;0;0;0;0;0.0;0%;0;0.0;0.0;0.0;0%;0;0;0;14;2;1.49;0.1;87%;46.5;0.4;1.5;4.8;7.8;1.8;6.0;1.6;5.1;3;16.2;10.0;2.2;2.2;9.1;64;42;1;0.8;1.5;0.2;12;2;0;12.8;22.2;No recurring injuries;Average;2.7;56;0.2;0;0;0;0;0;0;0;0;0;0
Ligue 2 BKT;Walid Bouabdeli;AM (RL), ST (C);25;"6'0""";Weak;Very Strong;6.95;3;2430;5;486;3.9;3.9;1.1;0.1;12%;0.0928571428571429;1.6;0.5;0.6;33%;0;0;0;23;1;1.5;0.1;89%;45.1;0.4;2.3;4.1;3.4;0.7;3.4;0.7;3.2;5;21.0;4.6;1.3;2.2;10.0;76;46;0;0.1;0.7;0.0;37;2;0;11.5;16.3;No recurring injuries;Above Average;4.1;40;0.1;0;0;0;0;0;0;0;0;0;0
Ligue 1 McDonald's;Prosper Peter;ST (C);18;"6'2""";Very Strong;Reasonable;6.76;1;1472;11;133.818181818182;6;6;5;0.4;23%;0.125;2.9;1.3;0.7;46%;0;1;100;20;1;1.33;0.1;90%;31.8;0.1;0.7;0.4;0.4;0.0;0.3;0.0;0.6;10;19.9;1.9;0.2;0.4;1.3;67;6;0;0.1;0.2;0.0;14;1;0;10.9;5.5;No recurring injuries;Below Average;7.3;45;0.1;0;0;0;0;0;0;0;0;0;0
Ligue 2 BKT;Yaël Mouanga;D (C), DM;20;"6'0""";Weak;Very Strong;6.77;1;2977;3;992.333333333333;2.02;2.02;0.98;0.1;13%;0.0878260869565217;0.7;0.2;0.3;22%;1;0;0;35;1;1.41;0.0;90%;42.2;0.1;0.2;2.0;0.0;0.0;0.0;0.0;0.0;1;3.8;14.0;0.5;3.1;2.9;65;23;4;0.7;1.2;0.7;11;2;0;9.9;3.3;No recurring injuries;Below Average;3.9;64;0.5;0;0;0;0;0;0;0;0;0;0
Second Division;Iñaki González;DM, M (C);21;"6'0""";Fairly Strong;Very Strong;6.81;0;1002;0;0;0.5;0.5;-0.5;0.0;0%;0.125;0.4;0.1;0.2;25%;0;0;0;8;2;2.92;0.3;93%;48.4;0.5;0.4;5.0;0.0;0.0;0.0;0.0;0.1;0;8.9;11.3;1.3;2.0;5.6;93;15;0;0.5;0.3;0.2;3;0;0;9.1;8.3;No recurring injuries;Above Average;2.0;91;0.2;0;0;0;0;0;0;0;0;0;0
Second Division;Quique Fornos;D (RC);29;"5'10""";Weak;Very Strong;6.70;1;1960;1;1960;1.11;1.11;-0.11;0.1;10%;0.111;0.5;0.2;0.1;40%;0;0;0;24;1;0.42;0.0;86%;49.9;0.1;0.7;5.2;1.1;0.3;1.1;0.3;0.4;1;11.3;10.3;1.4;2.8;5.8;81;37;2;0.5;0.9;0.7;15;5;0;11.0;10.2;No recurring injuries;Below Average;4.5;67;0.6;0;0;0;0;0;0;0;0;0;0
Ligue 2 BKT;Ilhan Fakili;M/AM (RL);20;"5'11""";Weak;Very Strong;6.78;0;1031;5;206.2;1.97;1.97;3.03;0.2;26%;0.103684210526316;1.7;0.9;0.5;53%;0;1;100;17;2;2.69;0.2;87%;42.9;0.4;1.6;3.9;2.4;0.8;2.4;0.8;3.1;5;16.0;5.2;1.0;1.6;8.8;61;18;0;0.1;0.3;0.0;12;0;0;10.9;13.0;No recurring injuries;Above Average;4.1;34;0.0;0;0;0;0;0;0;0;0;0;0
Eredivisie;Alex Plat;D (RC), WB (R), DM;28;"5'10""";Weak;Very Strong;6.55;0;2323;0;0;0.48;0.48;-0.48;0.0;0%;0.0533333333333333;0.3;0.2;0.2;56%;1;0;0;22;0;1.61;0.1;90%;52.0;0.2;0.4;3.6;0.0;0.0;0.0;0.0;0.3;0;10.7;8.6;0.9;2.4;6.2;67;36;0;0.3;0.8;0.2;14;4;0;11.3;9.6;No recurring injuries;Below Average;2.5;48;0.2;0;0;0;0;0;0;0;0;0;0
Premier League;Ryan Guilherme;DM, M (C);23;"6'2""";Very Weak;Very Weak;6.70;0;1217;3;405.666666666667;2.13;2.13;0.87;0.2;23%;0.163846153846154;1.0;0.4;0.3;38%;0;0;0;14;2;1.86;0.1;93%;49.0;0.1;0.2;2.7;0.0;0.0;0.0;0.0;0.3;0;6.1;11.4;1.0;2.1;5.7;87;15;0;0.9;0.4;0.1;3;0;0;10.8;10.9;No recurring injuries;High;3.3;47;0.3;0;0;0;0;0;0;0;0;0;0
Ligue 2 BKT;François Lajugie;D (RC), WB (R), DM, M (C);30;"6'2""";Weak;Very Strong;6.91;1;2161;0;0;1;1;-1;0.0;0%;0.0909090909090909;0.5;0.1;0.2;18%;0;0;0;15;1;1.77;0.1;92%;53.2;0.2;0.8;5.7;3.1;0.5;2.9;0.5;0.8;3;13.9;12.2;1.3;3.8;7.9;74;43;2;0.5;0.9;0.7;34;5;2;10.9;14.0;No recurring injuries;Above Average;4.5;77;0.4;0;0;2;0;0;0;0;0;0;0
Ligue 2 BKT;Titouan Thomas;DM, M/AM (C);24;"6'0""";Weak;Very Strong;6.83;1;2337;2;1168.5;1.23;1.23;0.77;0.0;14%;0.0878571428571429;0.5;0.1;0.1;14%;0;0;0;29;5;4.4;0.2;92%;51.2;0.3;1.1;5.9;5.8;1.4;0.1;0.0;0.2;0;6.9;10.9;0.9;1.7;5.2;74;31;2;0.7;1.1;0.1;14;2;0;11.5;11.3;No recurring injuries;Above Average;2.2;41;0.2;0;0;0;0;0;0;0;0;0;0
Ligue 2 BKT;Stanislas Kielt;AM (C), ST (C);24;"6'0""";Weak;Very Strong;6.78;1;1539;8;192.375;9.47;9.47;-1.47;0.6;12%;0.145692307692308;3.8;2.0;1.1;52%;1;1;100;17;1;1.91;0.1;87%;30.9;0.3;1.2;0.8;0.3;0.0;0.3;0.0;0.4;10;20.6;1.9;0.4;0.5;1.8;100;6;0;0.0;0.2;0.0;12;0;0;10.1;8.1;No recurring injuries;Below Average;7.6;29;0.0;0;0;0;0;0;0;0;0;0;0
Ligue 2 BKT;Marco Essimi;AM (RL);27;"6'0""";Weak;Very Strong;6.84;3;2138;4;534.5;3.88;3.88;0.12;0.2;10%;0.097;1.7;0.7;0.9;40%;2;0;0;31;2;1.52;0.1;88%;44.9;0.2;1.5;3.3;4.3;1.0;4.3;1.0;5.1;9;16.0;5.7;1.6;1.8;10.4;74;53;0;0.4;0.5;0.0;34;0;0;11.1;11.9;No recurring injuries;Below Average;4.3;52;0.0;0;0;0;0;0;0;0;0;0;0
Sky Bet Championship;Sam Long;D (RC), WB (R);31;"5'10""";Weak;Very Strong;6.92;3;3545;0;0;1.01;1.01;-1.01;0.0;0%;0.0841666666666667;0.3;0.0;0.1;8%;0;0;0;33;2;3.45;0.1;89%;46.5;0.1;0.6;4.7;1.4;0.2;1.4;0.2;0.7;1;11.6;9.7;1.2;3.3;5.3;82;60;8;0.7;1.2;0.4;25;0;0;11.4;12.1;No recurring injuries;Below Average;4.1;68;0.4;0;0;0;0;0;0;0;0;0;0
Ligue 2 BKT;Tom Pouilly;D/WB (R), DM, M (C);22;"5'11""";Weak;Very Strong;6.73;1;1125;0;0;1.08;1.08;-1.08;0.1;0%;0.12;0.7;0.1;0.2;11%;0;0;0;12;0;0.58;0.0;87%;55.3;0.1;0.9;6.2;1.6;0.1;1.6;0.1;0.6;1;12.9;10.9;1.4;2.7;7.4;95;19;0;0.4;1.1;0.2;20;4;2;11.4;14.5;No recurring injuries;Average;3.4;49;0.4;0;0;0;0;0;0;0;0;0;0
Ligue 2 BKT;Nolan Galves;D/WB (R);22;"6'0""";Weak;Very Strong;6.81;2;2965;0;0;0.38;0.38;-0.38;0.0;0%;0.076;0.2;0.0;0.1;20%;1;0;0;32;4;1.92;0.1;82%;43.7;0.1;1.4;4.8;7.0;1.6;7.0;1.6;2.3;5;16.7;9.4;1.8;2.8;9.3;75;80;1;0.7;1.3;0.4;32;3;0;12.4;23.3;No recurring injuries;Below Average;3.3;38;0.4;0;0;1;0;0;0;0;0;0;0
Ligue 2 BKT;Ibou Sané;AM (RLC), ST (C);21;"5'10""";Weak;Very Strong;6.78;0;2319;8;289.875;8.24;8.24;-0.24;0.3;10%;0.105641025641026;3.0;1.5;0.9;49%;0;2;100;25;0;1.25;0.0;90%;26.8;0.2;0.8;0.7;0.5;0.2;0.5;0.2;0.9;15;16.3;2.9;0.1;0.8;1.4;75;4;0;0.1;0.2;0.0;16;1;0;10.0;5.6;No recurring injuries;Above Average;6.5;17;0.0;0;0;0;0;0;0;0;0;0;0
Eredivisie;Benjamin Pauwels;M/AM (RL);21;"5'11""";Weak;Very Strong;6.82;0;1067;1;1067;1.21;1.21;-0.21;0.1;10%;0.121;0.8;0.6;0.1;70%;0;0;0;11;1;1.61;0.1;88%;42.4;0.3;1.7;3.8;2.7;0.7;2.7;0.7;3.8;5;21.3;2.7;0.8;1.9;8.7;77;13;1;0.5;0.8;0.0;7;1;0;10.3;11.7;No recurring injuries;Above Average;3.4;55;0.0;0;0;0;0;0;0;0;0;0;0
Ligue 2 BKT;Lucas Buades;D/WB/M/AM (R);28;"5'11""";Reasonable;Very Strong;6.77;0;2446;0;0;2.48;2.48;-2.48;0.1;0%;0.248;0.4;0.0;0.1;0%;0;0;0;20;2;1.46;0.1;89%;47.4;0.2;1.1;5.7;3.0;0.7;2.8;0.7;1.5;1;16.1;9.5;1.8;3.0;8.0;72;68;3;0.6;1.5;0.4;21;5;0;12.0;17.6;No recurring injuries;Below Average;3.8;46;0.6;0;0;0;0;0;0;0;0;0;0
Jupiler Pro League;Oumar Diouf;ST (C);23;"5'11""";Very Strong;Reasonable;6.72;0;2163;7;309;6.6;6.6;0.4;0.3;11%;0.108196721311475;2.5;1.2;0.7;46%;0;0;0;23;1;2.68;0.1;89%;25.9;0.1;1.0;0.6;0.4;0.1;0.4;0.1;0.5;16;19.3;1.7;0.1;0.7;1.4;50;6;0;0.1;0.2;0.0;20;1;0;10.5;5.8;No recurring injuries;Below Average;7.4;20;0.1;0;0;0;0;0;0;0;0;0;0
